dup_factor,trial,time
0,0,0.05515210300018225
0,1,0.04891924599996855
0,2,0.04533015799984241
0,3,0.04669402100012121
0,4,0.045714265000015075
0,5,0.05533702499997162
0,6,0.0442710120000811
0,7,0.04416876499999489
0,8,0.045690094000065073
0,9,0.05191347400000268
1,0,0.1102441360001194
1,1,0.09231708800007254
1,2,0.09966922899980091
1,3,0.09283479399982753
1,4,0.1183794419998776
1,5,0.10400817200002166
1,6,0.10397635599997557
1,7,0.11126600900001904
1,8,0.09474133300000176
1,9,0.09912695600019106
2,0,0.1679283870000745
2,1,0.1522451999999248
2,2,0.15568768200000704
2,3,0.1442401609999706
2,4,0.14549714500003574
2,5,0.15140259500003594
2,6,0.14850560400009272
2,7,0.15301501399994777
2,8,0.15194672500001616
2,9,0.15248415099995327
3,0,0.19595425400007116
3,1,0.2046937860000071
3,2,0.21640006000006906
3,3,0.19158905399990545
3,4,0.20665948600003503
3,5,0.20142338699997708
3,6,0.19941019899988532
3,7,0.19567906099996435
3,8,0.1998834219998571
3,9,0.2064942899999096
4,0,0.2496704159998444
4,1,0.2468570710000222
4,2,0.2598489460001474
4,3,0.26631262299997616
4,4,0.26569115400002374
4,5,0.25010473299994374
4,6,0.2570709890001126
4,7,0.26404029000013907
4,8,0.25242420400013543
4,9,0.24704694900015056
